dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
lego,SG,sg_l4_t0_01.npz,0.3,4.0,,278.26,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,107938.38,34.25,1.0,0.0019,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.4,4.0,,290.06,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,121943.65,38.69,0.999,0.0028,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.5,4.0,,299.25,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,134517.36,42.68,0.999,0.0041,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.6,4.0,,310.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,146760.2,46.57,0.997,0.0064,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.7,4.0,,323.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,159811.47,50.71,0.994,0.0104,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.8,4.0,,342.45,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,175181.46,55.59,0.986,0.0186,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.9,4.0,,376.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,196575.8,62.37,0.966,0.0384,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.1,6.0,,258.15,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,76733.98,24.35,1.0,0.0008,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.2,6.0,,270.4,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,100135.66,31.77,1.0,0.0013,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.3,6.0,,273.35,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,115173.05,36.54,1.0,0.0019,234.9666666666667
